videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0256_config][QP24]_SITI_540,87.82567,122.51586,87.62718,121.8688,87.78167,121.01927,87.62977,122.71378,87.91786,121.55149,0.0,79.11794,79.20734,79.241486,79.28485,79.2474,79.28269,79.2927,79.27314,79.30051,0.0,0.0,18.880749,27.133617,18.162476,25.552753,18.526508,25.461874,18.482512,26.033083
[RA][test0483_config][QP16]_EVCA_540,1.9875433,2.5031302,1.9872874,2.502848,1.986628,2.5031817,1.9906003,2.4975824,1.9875737,2.4945667,131.06102,87.7438,131.08687,87.84194,130.90598,87.72341,130.96469,87.6462,130.74533,87.38747,0.0,112.16896,112.169266,112.02663,111.92909,111.581184,111.7162,112.00809,111.69681,111.550934,0.0,0.0,87.61657,56.087273,85.72616,55.812912,89.14882,53.383,88.68867,54.557964
[RA][test0483_config][QP16]_VCA_540,1.9875433,2.5031302,1.9872874,2.502848,1.986628,2.5031817,1.9906003,2.4975824,1.9875737,2.4945667,131.06102,87.7438,131.08687,87.84194,130.90598,87.72341,130.96469,87.6462,130.74533,87.38747,0.0,57.719826,57.99278,58.140007,58.06797,57.722485,57.560013,57.973755,57.77465,57.85194,0.0,0.0,2.2704237,2.0171056,1.9083562,1.7979221,2.423244,2.0864947,2.1913085,1.6963339
[RA][test0483_config][QP16]_SITI_540,143.81204,122.84975,143.9201,123.22291,143.7897,122.76117,143.64128,122.70169,143.47658,121.97257,0.0,71.73532,71.54157,71.62842,71.64225,71.71908,71.625,71.71465,71.57168,71.75938,0.0,0.0,63.1158,49.53818,60.819695,49.177097,64.32698,49.372036,64.17242,50.662334
[RA][test0465_config][QP36]_EVCA_540,1.8828331,2.3219407,1.8813721,2.3184342,1.8835678,2.3156233,1.8820702,2.3152106,1.8844463,2.31821,90.32492,94.88335,90.54095,95.092674,90.52974,94.90492,90.64323,95.268845,90.79595,94.827095,0.0,101.93243,101.977104,102.0222,101.845245,101.64653,101.85484,102.0102,102.09201,102.018936,0.0,0.0,37.16131,39.63258,36.43993,37.83174,36.664597,38.21841,37.191746,38.686653
[RA][test0465_config][QP36]_VCA_540,1.8828331,2.3219407,1.8813721,2.3184342,1.8835678,2.3156233,1.8820702,2.3152106,1.8844463,2.31821,90.32492,94.88335,90.54095,95.092674,90.52974,94.90492,90.64323,95.268845,90.79595,94.827095,0.0,62.629444,62.707394,62.74111,62.76806,62.549057,62.64374,62.45943,62.58811,62.57674,0.0,0.0,0.70067495,1.3650686,0.62833536,1.0726652,0.616096,1.4210265,0.57638294,1.4037713
[RA][test0465_config][QP36]_SITI_540,125.37858,129.50226,125.44435,130.0963,125.02702,129.8189,125.23512,129.97122,125.650215,129.26755,0.0,78.343056,78.358315,78.36991,78.221306,78.225464,78.24249,78.16228,78.18832,78.19984,0.0,0.0,25.549839,26.780891,25.08832,25.400152,25.155643,25.417408,25.672716,25.425686
[RA][test0469_config][QP32]_EVCA_540,2.1618679,2.4172564,2.1600468,2.417781,2.1600935,2.417857,2.1612844,2.4184234,2.1641905,2.4188719,127.78606,46.881615,127.934235,46.79909,127.93367,46.663868,128.01266,46.867855,127.77556,46.71848,0.0,110.36761,110.555756,110.60006,110.54475,110.51362,110.701035,110.60468,110.29381,110.32876,0.0,0.0,50.399685,6.0967574,53.95921,8.511124,45.281574,6.993129,52.387386,7.3598814
[RA][test0469_config][QP32]_VCA_540,2.1618679,2.4172564,2.1600468,2.417781,2.1600935,2.417857,2.1612844,2.4184234,2.1641905,2.4188719,127.78606,46.881615,127.934235,46.79909,127.93367,46.663868,128.01266,46.867855,127.77556,46.71848,0.0,82.04234,82.19252,82.31202,82.395424,82.52923,82.630806,82.50939,82.25837,82.46201,0.0,0.0,0.8874175,0.31393713,1.1601974,0.4136444,0.83952713,0.36821112,1.0911887,0.43372458
[RA][test0469_config][QP32]_SITI_540,150.63466,86.86656,150.80087,86.756874,150.82912,86.6254,151.0649,86.77916,150.8942,86.7627,0.0,82.00207,81.975624,81.944626,82.007545,81.99495,81.93348,81.95962,81.97764,81.976,0.0,0.0,26.78511,6.393296,28.6685,7.3077602,23.674376,6.7186966,27.602161,6.907393
