videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0436_config][QP34]_EVCA_360,4.2291245,4.1255126,4.229385,4.128458,4.2297606,4.127385,4.2291536,4.1272783,4.227686,4.1242433,83.45916,96.42305,83.46994,96.303856,83.48107,96.37134,83.51067,96.47467,83.44269,96.32004,0.0,83.621185,83.637375,83.62807,83.6545,83.6579,83.6725,83.66377,83.648834,83.55487,0.0,0.0,1.2750269,13.254173,1.8302473,15.967603,1.7678509,14.839847,6.678851,14.152671
[RA][test0436_config][QP34]_VCA_360,4.2291245,4.1255126,4.229385,4.128458,4.2297606,4.127385,4.2291536,4.1272783,4.227686,4.1242433,83.45916,96.42305,83.46994,96.303856,83.48107,96.37134,83.51067,96.47467,83.44269,96.32004,0.0,35.639053,35.658764,35.656227,35.65477,35.691586,35.72092,35.762924,35.74984,35.63942,0.0,0.0,0.026616845,0.1862513,0.027348518,0.28294143,0.04683699,0.22594653,0.17178856,0.32488903
[RA][test0436_config][QP34]_SITI_360,96.70072,123.978745,96.73698,123.85383,96.76093,123.883705,96.81356,123.91703,96.64831,123.791725,0.0,75.799644,75.79956,75.80838,75.80324,75.820145,75.82329,75.84567,75.82709,75.817116,0.0,0.0,1.687976,9.601811,2.2645864,9.847976,1.9657851,9.291302,4.2187395,9.026528
[RA][test0397_config][QP48]_EVCA_360,4.606718,5.2147655,4.613928,5.207816,4.6106606,5.2267165,4.6093516,5.225076,4.603299,5.2350373,116.11614,96.59873,115.88536,96.617546,116.24707,96.42452,116.21589,97.869446,116.16089,97.43505,0.0,97.46405,97.46184,97.306465,97.089455,97.47695,97.62399,97.8366,97.768906,97.66426,0.0,0.0,56.745483,39.099327,55.91509,40.844612,56.43122,41.57873,55.544624,43.526123
[RA][test0397_config][QP48]_VCA_360,4.606718,5.2147655,4.613928,5.207816,4.6106606,5.2267165,4.6093516,5.225076,4.603299,5.2350373,116.11614,96.59873,115.88536,96.617546,116.24707,96.42452,116.21589,97.869446,116.16089,97.43505,0.0,30.555323,30.30746,30.730703,30.714506,30.565258,30.611757,30.370756,30.613964,30.627369,0.0,0.0,1.3726417,0.9906332,1.2048204,1.073263,1.0826849,1.6496843,0.92709154,1.3544897
[RA][test0397_config][QP48]_SITI_360,133.13768,135.44974,132.51733,134.8223,132.67484,135.0515,132.57036,136.01831,132.8838,135.24957,0.0,76.0465,76.01935,75.99512,75.85363,75.77756,75.72948,75.83607,75.78034,75.72144,0.0,0.0,33.90506,26.139908,32.39721,28.565758,32.80828,28.097004,32.278633,29.106258
[RA][test0272_config][QP28]_EVCA_360,4.576192,5.234599,4.5887628,5.260494,4.5885496,5.277165,4.5798717,5.2532597,4.577332,5.198988,125.96108,83.3955,125.05844,82.20207,125.84978,81.37482,126.9205,81.289925,127.40663,81.39566,0.0,103.29561,102.58189,103.02361,104.130684,103.78709,105.23315,105.803474,106.21016,105.6978,0.0,0.0,81.930244,46.55454,80.82866,45.828865,82.03511,46.484333,81.66813,44.584423
[RA][test0272_config][QP28]_VCA_360,4.576192,5.234599,4.5887628,5.260494,4.5885496,5.277165,4.5798717,5.2532597,4.577332,5.198988,125.96108,83.3955,125.05844,82.20207,125.84978,81.37482,126.9205,81.289925,127.40663,81.39566,0.0,45.141006,45.76986,46.489925,47.418926,48.39083,50.279,49.804344,49.75798,49.56357,0.0,0.0,3.2848408,6.5392747,3.2782254,6.6810355,3.569891,7.263225,3.0484273,6.2795324
[RA][test0272_config][QP28]_SITI_360,139.66457,119.07248,138.91763,117.4478,140.06613,117.13545,141.55354,118.53968,141.18944,118.04328,0.0,78.08582,78.678825,78.02109,78.688126,78.32229,79.03743,78.338264,78.47931,78.742714,0.0,0.0,60.300175,42.69753,59.25431,42.906303,60.342827,44.60726,58.978443,41.505077
[RA][test0284_config][QP30]_EVCA_360,4.098836,5.6284413,4.0863314,5.642525,4.0867195,5.6478505,4.098992,5.6425667,4.0959945,5.64274,129.22104,108.90957,129.10672,108.51563,129.0283,109.18768,129.80865,108.93081,129.51053,108.63404,0.0,109.52549,109.44593,110.274025,109.72073,110.125336,110.81916,110.468796,110.38594,110.69265,0.0,0.0,79.3424,59.49361,79.25409,59.95724,79.65985,60.0102,80.4282,59.94931
